,State,Crop,Season,District ,Area ,Production,Yield,Profit,Rainfall
65,andaman and nicobar island,moong(green gram),summer     ,nicobars,1096.5,656.0,0.58,nan,nan
66,andaman and nicobar island,oilseeds total,whole year ,north and middle andaman,59.625,23.5,0.395,nan,nan
67,andaman and nicobar island,oilseeds total,whole year ,south andamans,9.55,8.5,0.8625,nan,nan
68,andaman and nicobar island,other kharif pulses,kharif     ,nicobars,2.0,1.0,0.5,nan,nan
69,andaman and nicobar island,other kharif pulses,kharif     ,north and middle andaman,543.0,323.5,0.575,nan,nan
70,andaman and nicobar island,rapeseed &mustard,rabi       ,north and middle andaman,9.245555556,3.555555556,0.983333333,nan,nan
71,andaman and nicobar island,rapeseed &mustard,rabi       ,south andamans,0.825,0.5,0.8425,nan,nan
72,andaman and nicobar island,rapeseed &mustard,summer     ,north and middle andaman,21.0,8.5,0.45,nan,nan
73,andaman and nicobar island,rice,autumn     ,nicobars,1339.3725,2616.0,1.78,nan,nan
74,andaman and nicobar island,rice,autumn     ,north and middle andaman,6199.917,14118.7,2.302,nan,nan
75,andaman and nicobar island,rice,autumn     ,south andamans,415.741,927.2,2.232,nan,nan
76,andaman and nicobar island,rice,kharif     ,nicobars,1116.425714,3310.142857,3.044285714,nan,nan
77,andaman and nicobar island,rice,kharif     ,north and middle andaman,9117.1,25964.0,2.836666667,nan,nan
78,andaman and nicobar island,rice,kharif     ,south andamans,8298.48,23978.6,2.868,nan,nan
79,andaman and nicobar island,sesamum,rabi       ,north and middle andaman,7.706,6.6,0.652,nan,nan
80,andaman and nicobar island,sesamum,summer     ,north and middle andaman,43.5,18.85714286,0.398571429,nan,nan
81,andaman and nicobar island,sesamum,summer     ,south andamans,6.5,3.0,0.52,nan,nan
82,andaman and nicobar island,sugarcane,autumn     ,nicobars,27.98583333,385.9166667,8.05,nan,nan
83,andaman and nicobar island,sugarcane,autumn     ,north and middle andaman,99.612,1596.3,13.267,nan,nan
84,andaman and nicobar island,sugarcane,autumn     ,south andamans,50.357,981.8,18.766,nan,nan
85,andaman and nicobar island,sugarcane,kharif     ,nicobars,106.5,2129.0,19.99,nan,nan
